ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,CustomerPO,InvoiceDate,,,,,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
P5519517,P5447347,SHAWN,INV,1/24/25,1/24/25,83.31,90.22,83.31,6.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,6,1.06,,P,0,No Preferred Carrier,1,AMP-301-0094,79104800Z BRASS PILOT SCREW,W/ CAPTIVE GUM WASHER,SHAWN,1/24/25,Billable,Mattouk,,,EA,4.17,4.17,P5519517,3,0,1,0.01,537A,PRIORITY PICK,
P5519517,P5447347,SHAWN,INV,1/24/25,1/24/25,83.31,90.22,83.31,6.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,6,1.06,,P,0,No Preferred Carrier,2,USS-60-5021,PS200 5/8&quot;,GENERAL SERVICE SEAL ASSY,SHAWN,1/24/25,Billable,Mendoza,,,EA,6.12,12.24,P5519517,1,0,2,0.2,537A,PRIORITY PICK,
P5518716,P5446750,SHAWN,INV,1/17/25,1/17/25,24.04,0,24.04,2,0,0,1/17/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/17/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,42.65,,P,0,,1,SPG-25-0279,25558-000-000 .75&quot;MPT WHITE,ABS AERATOR,SHAWN,1/17/25,Billable,Rendina,,,EA,3.6,3.6,P5518716,1,0,1,0.05,537A,PRIORITY PICK,
ND382296,ND313155,SHAWN,INV,1/13/25,1/13/25,-0.05,-0.06,-0.05,-0.01,0,0,1/13/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/13/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,0,0.07,,P,0,No Preferred Carrier,5,WWP-56-4513,419-4110,1.5&quot; INSIDE COUPLER,SHAWN,1/13/25,Billable,Variable,,,EA,3.96,19.8,ND382296,3,0,5,0.57,512A,PRIORITY PICK,
P5519517,P5447347,SHAWN,INV,1/24/25,1/24/25,83.31,90.22,83.31,6.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,6,1.06,,P,0,No Preferred Carrier,1,PAC-101-3110,355074Z 1HP FR MH CHALLENGER/,1.5HP SUPERFLO IMPELLER,SHAWN,1/24/25,Billable,Variable,,,EA,50.65,50.65,P5519517,2,0,1,0.3,537A,PRIORITY PICK,
ND383990,ND314610,SHAWN,INV,1/23/25,1/23/25,42.59,0,42.59,2.7,0,0,1/23/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/23/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,57.25,,P,0,,1,EZC-50-7210,47247400 4/CS 144/PLT E-Z CLOR,10# ALKALINITY UP POUCH,SHAWN,1/23/25,Billable,Variable,,,BAG,12.15,12.15,ND383990,6,0,1,10.2,512A,PRIORITY PICK,
ND383570,ND314265,SHAWN,INV,1/21/25,1/21/25,80.75,0,80.75,6.7,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,53.5,,P,0,,1,EZC-50-8101,47249210 E-Z CLOR GRANULAR,50# CLOR SAVE STABILIZER,SHAWN,1/21/25,Billable,Variable,,,PL,80.75,80.75,ND383570,1,0,1,53.5,512A,PRIORITY PICK,
ND382292,ND313152,SHAWN,INV,1/13/25,1/13/25,1725.73,0,1725.73,143.24,0,0,1/13/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/13/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,67,80.7,,P,0,,25,LAS-56-4063,406-020 25/BX 2&quot;S,SCH40 PVC 90^ ELL,SHAWN,1/13/25,Billable,Variable,,,EA,2.6,65,ND382292,4,0,25,12.5,512A,PRIORITY PICK,
ND382292,ND313152,SHAWN,INV,1/13/25,1/13/25,1725.73,0,1725.73,143.24,0,0,1/13/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/13/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,67,80.7,,P,0,,25,LAS-56-4080,429-020 25/BX 2&quot;S,SCH40 PVC COUPLING,SHAWN,1/13/25,Billable,Variable,,,EA,1.8,45,ND382292,5,0,25,5,512A,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,LAS-56-4269,429-030 10/BX 3&quot;S,SCH40 PVC COUPLING,SHAWN,1/31/25,Billable,Variable,,,EA,5.37,5.37,ND385313,4,0,1,0.65,512A,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,LAS-56-4220,429-025 10/BX 2.5&quot;S,SCH40 PVC COUPLING,SHAWN,1/31/25,Billable,Variable,,,EA,3.4,3.4,ND385313,3,0,1,0.5,512A,PRIORITY PICK,
ND382292,ND313152,SHAWN,INV,1/13/25,1/13/25,1725.73,0,1725.73,143.24,0,0,1/13/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/13/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,67,80.7,,P,0,,5,SPG-56-0072,SP0301-15 1.5&quot; 48/CS,SCH40 PVC PIPE EXTENDER,SHAWN,1/13/25,Billable,Variable,,,EA,3.97,19.85,ND382292,6,0,5,0.5,512A,PRIORITY PICK,
ND382296,ND313155,SHAWN,INV,1/13/25,1/13/25,-0.05,-0.06,-0.05,-0.01,0,0,1/13/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/13/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,0,0.07,,P,0,No Preferred Carrier,-5,SPG-56-0072,SP0301-15 1.5&quot; 48/CS,SCH40 PVC PIPE EXTENDER,SHAWN,1/13/25,Billable,Variable,,,EA,3.97,-19.85,ND382296,1,0,-5,-0.5,512A,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,TLD-101-2032,R0479400 FHPM/ JEP/ PHP/ SHP/,SWF/ WFTR SHAFT SEAL,SHAWN,1/31/25,Billable,Variable,,,EA,27.35,27.35,ND385313,2,0,1,0.5,512A,PRIORITY PICK,
P5518794,P5446814,SHAWN,INV,1/20/25,1/20/25,312.34,0,312.34,25.92,0,0,1/20/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/20/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,6.53,,P,0,,1,PMT-201-793,005-302-4032-03 2&quot; 6-PORT,WATER VALVE BASE,SHAWN,1/20/25,Billable,Returned,,,EA,154.39,154.39,P5518794,3,0,1,2.6,537A,PRIORITY PICK,
ND383345,ND314082,SHAWN,INV,1/20/25,1/20/25,63.44,0,63.44,5.27,0,0,1/20/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/20/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,0.37,,P,0,,-1,PMT-201-793,005-302-4032-03 2&quot; 6-PORT,WATER VALVE BASE,SHAWN,1/20/25,Billable,Returned,,,EA,154.39,-154.39,ND383345,1,0,-1,-2.6,512A,PRIORITY PICK,
DC243255,DC200374,,INV,1/9/25,1/9/25,9.1,9.84,9.1,0.74,0,0,1/9/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/9/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,0.6,,P,0,No Preferred Carrier,1,PSL-45-5005,PS690 12/CS BLUE/WHITE DELUXE,FLOATING CHEMICAL FEEDER,,1/9/25,Billable,,,,EA,9.1,9.1,DC243255,1,0,1,0.6,214,PRIORITY PICK,
81303300,81344643,BLAKE,INV,1/9/25,1/9/25,86.96,0,86.96,7.22,0,0,1/9/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/9/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,82.85,,P,0,,1,TAY-45-1002,R-0001-C 12/BX,2OZ #1 DPD REAGENT,BLAKE,1/9/25,non-Billable,,,,EA,12.04,12.04,81303300,1,0,1,0.15,81,PRIORITY PICK,
81303300,81344643,BLAKE,INV,1/9/25,1/9/25,86.96,0,86.96,7.22,0,0,1/9/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/9/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,82.85,,P,0,,1,TAY-45-1003,R-0002-C 12/BX,2OZ #2 DPD REAGENT,BLAKE,1/9/25,non-Billable,,,,EA,12.06,12.06,81303300,2,0,1,0.15,81,PRIORITY PICK,
81303300,81344643,BLAKE,INV,1/9/25,1/9/25,86.96,0,86.96,7.22,0,0,1/9/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/9/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,82.85,,P,0,,1,TAY-45-1019,R-0004-C 12/BX,2OZ PH INDICATOR SOLUTION,BLAKE,1/9/25,non-Billable,,,,EA,6.78,6.78,81303300,3,0,1,0.15,81,PRIORITY PICK,
81305283,81346491,BLAKE,INV,1/30/25,1/30/25,259.56,0,259.56,21.54,0,0,1/30/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/30/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,220.2,,P,0,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),BLAKE,1/30/25,non-Billable,,,,PL,155,155,81305283,7,0,1,54,81,PRIORITY PICK,
81303911,81345209,BLAKE,INV,1/16/25,1/16/25,104.56,0,104.56,8.68,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,166.2,,P,0,,3,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,BLAKE,1/16/25,non-Billable,,,,CS,28.04,84.12,81303911,1,0,3,123.6,81,PRIORITY PICK,
81305283,81346491,BLAKE,INV,1/30/25,1/30/25,259.56,0,259.56,21.54,0,0,1/30/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/30/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,220.2,,P,0,,3,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,BLAKE,1/30/25,non-Billable,,,,CS,28.04,84.12,81305283,1,0,3,123.6,81,PRIORITY PICK,
81303300,81344643,BLAKE,INV,1/9/25,1/9/25,86.96,0,86.96,7.22,0,0,1/9/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/9/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,82.85,,P,0,,2,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,BLAKE,1/9/25,non-Billable,,,,CS,28.04,56.08,81303300,4,0,2,82.4,81,PRIORITY PICK,
DC243150,DC200277,BLAKE,INV,1/7/25,1/7/25,248.9,0,248.9,20.16,0,0,1/7/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/7/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,127.1,,P,0,,2,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,BLAKE,1/7/25,non-Billable,,,,CS,28.04,56.08,DC243150,3,0,2,82.4,214,PRIORITY PICK,
81303911,81345209,BLAKE,INV,1/16/25,1/16/25,104.56,0,104.56,8.68,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,166.2,,P,0,,1,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,BLAKE,1/16/25,non-Billable,,,,CS,20.44,20.44,81303911,4,0,1,42.6,81,PRIORITY PICK,
DC243150,DC200277,BLAKE,INV,1/7/25,1/7/25,248.9,0,248.9,20.16,0,0,1/7/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/7/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,127.1,,P,0,,1,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,BLAKE,1/7/25,non-Billable,,,,CS,20.44,20.44,DC243150,6,0,1,42.6,214,PRIORITY PICK,
81305283,81346491,BLAKE,INV,1/30/25,1/30/25,259.56,0,259.56,21.54,0,0,1/30/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/30/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,220.2,,P,0,,1,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,BLAKE,1/30/25,non-Billable,,,,CS,20.44,20.44,81305283,4,0,1,42.6,81,PRIORITY PICK,
DC244198,DC201081,JAMIE,INV,1/24/25,1/24/25,282.84,0,282.84,22.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,8,222.05,,P,0,,1,TAY-45-1002,R-0001-C 12/BX,2OZ #1 DPD REAGENT,JAMIE,1/24/25,non-Billable,,,,EA,12.04,12.04,DC244198,10,0,1,0.15,214,PRIORITY PICK,
DC244198,DC201081,JAMIE,INV,1/24/25,1/24/25,282.84,0,282.84,22.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,8,222.05,,P,0,,1,TAY-45-1003,R-0002-C 12/BX,2OZ #2 DPD REAGENT,JAMIE,1/24/25,non-Billable,,,,EA,12.06,12.06,DC244198,11,0,1,0.15,214,PRIORITY PICK,
DC244198,DC201081,JAMIE,INV,1/24/25,1/24/25,282.84,0,282.84,22.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,8,222.05,,P,0,,1,TAY-45-1019,R-0004-C 12/BX,2OZ PH INDICATOR SOLUTION,JAMIE,1/24/25,non-Billable,,,,EA,6.78,6.78,DC244198,9,0,1,0.15,214,PRIORITY PICK,
DC244198,DC201081,JAMIE,INV,1/24/25,1/24/25,282.84,0,282.84,22.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,8,222.05,,P,0,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),JAMIE,1/24/25,non-Billable,,,,PL,155,155,DC244198,7,0,1,54,214,PRIORITY PICK,
81303769,81345059,JAMIE,INV,1/15/25,1/15/25,313.11,0,313.11,25.99,0,0,1/15/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/15/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,141.05,,P,0,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),JAMIE,1/15/25,non-Billable,,,,PL,155,155,81303769,8,0,1,54,81,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),JAMIE,1/31/25,non-Billable,,,,PL,155,155,DC244630,9,0,1,54,214,PRIORITY PICK,
DC244377,DC201208,JAMIE,INV,1/28/25,1/28/25,7.25,7.84,7.25,0.59,0,0,1/28/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/28/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,0.3,,P,0,No Preferred Carrier,1,ALA-60-1001,631,5OZ MAGIC LUBE,JAMIE,1/28/25,non-Billable,,,,EA,7.25,7.25,DC244377,1,0,1,0.3,214,PRIORITY PICK,
DC243951,DC200885,JAMIE,INV,1/21/25,1/21/25,85.9,0,85.9,6.96,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,151.8,,P,0,,1,AAA-06-241,CELAPOOL 24#,DIATOMAECOUS EARTH DE POLYBAG,JAMIE,1/21/25,non-Billable,,,,BAG,15.29,15.29,DC243951,4,0,1,23.4,214,PRIORITY PICK,
DC244198,DC201081,JAMIE,INV,1/24/25,1/24/25,282.84,0,282.84,22.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,8,222.05,,P,0,,2,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,JAMIE,1/24/25,non-Billable,,,,CS,28.04,56.08,DC244198,1,0,2,82.4,214,PRIORITY PICK,
81303769,81345059,JAMIE,INV,1/15/25,1/15/25,313.11,0,313.11,25.99,0,0,1/15/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/15/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,141.05,,P,0,,2,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,JAMIE,1/15/25,non-Billable,,,,CS,28.04,56.08,81303769,4,0,2,82.4,81,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,2,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,JAMIE,1/31/25,non-Billable,,,,CS,28.04,56.08,DC244630,3,0,2,82.4,214,PRIORITY PICK,
DC243951,DC200885,JAMIE,INV,1/21/25,1/21/25,85.9,0,85.9,6.96,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,151.8,,P,0,,3,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,JAMIE,1/21/25,non-Billable,,,,CS,20.44,61.32,DC243951,1,0,3,127.8,214,PRIORITY PICK,
DC244198,DC201081,JAMIE,INV,1/24/25,1/24/25,282.84,0,282.84,22.91,0,0,1/24/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/24/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,8,222.05,,P,0,,2,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,JAMIE,1/24/25,non-Billable,,,,CS,20.44,40.88,DC244198,4,0,2,85.2,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,2,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,JAMIE,1/31/25,non-Billable,,,,CS,20.44,40.88,DC244630,6,0,2,85.2,214,PRIORITY PICK,
ND381702,ND312623,JENNY,INV,1/8/25,1/8/25,98.92,0,98.92,5.72,0,0,1/8/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/8/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,18,139.75,,P,0,,12,HAS-50-126,BT GAL,BOTTLE DEPOSIT,JENNY,1/8/25,non-Billable,,,,EA,1,12,ND381702,9,0,12,4.8,512A,PRIORITY PICK,
ND381702,ND312623,JENNY,INV,1/8/25,1/8/25,98.92,0,98.92,5.72,0,0,1/8/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/8/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,18,139.75,,P,0,,3,HAS-50-132,SHELL,DEPOSIT SHELL/ CHEMICAL CASE,JENNY,1/8/25,non-Billable,,,,EA,6,18,ND381702,8,0,3,8.55,512A,PRIORITY PICK,
ND383782,ND314443,JENNY,INV,1/22/25,1/22/25,68.92,0,68.92,5.72,0,0,1/22/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/22/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,126.4,,P,0,,1,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,JENNY,1/22/25,non-Billable,,,,CS,28.04,28.04,ND383782,1,0,1,41.2,512A,PRIORITY PICK,
ND382956,ND313734,JENNY,INV,1/16/25,1/16/25,48.48,0,48.48,4.02,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,83.8,,P,0,,1,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,JENNY,1/16/25,non-Billable,,,,CS,28.04,28.04,ND382956,1,0,1,41.2,512A,PRIORITY PICK,
ND381702,ND312623,JENNY,INV,1/8/25,1/8/25,98.92,0,98.92,5.72,0,0,1/8/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/8/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,18,139.75,,P,0,,1,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,JENNY,1/8/25,non-Billable,,,,CS,28.04,28.04,ND381702,1,0,1,41.2,512A,PRIORITY PICK,
ND383782,ND314443,JENNY,INV,1/22/25,1/22/25,68.92,0,68.92,5.72,0,0,1/22/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/22/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,126.4,,P,0,,2,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,JENNY,1/22/25,non-Billable,,,,CS,20.44,40.88,ND383782,4,0,2,85.2,512A,PRIORITY PICK,
ND381702,ND312623,JENNY,INV,1/8/25,1/8/25,98.92,0,98.92,5.72,0,0,1/8/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/8/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,18,139.75,,P,0,,2,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,JENNY,1/8/25,non-Billable,,,,CS,20.44,40.88,ND381702,4,0,2,85.2,512A,PRIORITY PICK,
ND382956,ND313734,JENNY,INV,1/16/25,1/16/25,48.48,0,48.48,4.02,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,83.8,,P,0,,1,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,JENNY,1/16/25,non-Billable,,,,CS,20.44,20.44,ND382956,4,0,1,42.6,512A,PRIORITY PICK,
ND381358,ND312310,JENNY,INV,1/6/25,1/6/25,20.44,0,20.44,1.7,0,0,1/6/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/6/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,42.6,,P,0,,1,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,JENNY,1/6/25,non-Billable,,,,CS,20.44,20.44,ND381358,1,0,1,42.6,512A,PRIORITY PICK,
P5519010,P5446986,JERAMIAH,INV,1/21/25,1/21/25,158.61,0,158.61,13.16,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,37.35,,P,0,,1,AAA-06-241,CELAPOOL 24#,DIATOMAECOUS EARTH DE POLYBAG,JERAMIAH,1/21/25,non-Billable,,,,BAG,15.29,15.29,P5519010,3,0,1,23.4,537A,PRIORITY PICK,
DC243763,DC200747,JEREMIAH,INV,1/16/25,1/16/25,211.06,0,211.06,17.1,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,55.3,,P,0,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),JEREMIAH,1/16/25,non-Billable,,,,PL,155,155,DC243763,1,0,1,54,214,PRIORITY PICK,
P5517631,P5445860,JEREMIAH,INV,1/7/25,1/7/25,155,0,155,12.87,0,0,1/7/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/7/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,54,,P,0,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),JEREMIAH,1/7/25,non-Billable,,,,PL,155,155,P5517631,1,0,1,54,537A,PRIORITY PICK,
